,Stock code,company name,opening price,high price,low price,closing price,trading volume
68,8802,三菱地所株式会社,"1,717.5","1,740","1,715.5","1,721","3,311,900"
69,8801,三井不動産株式会社,"2,516","2,557","2,514.5","2,524","1,660,700"
70,7201,日産自動車株式会社,583.8,585.2,573.6,578.5,"9,597,500"
71,1925,大和ハウス工業株式会社,"3,391","3,448","3,371","3,356","1,508,000"
72,7269,スズキ株式会社,"4,762","4,823","4,734","4,756","1,189,100"
73,4507,塩野義製薬株式会社,"6,951","7,070","6,949","6,952","2,061,300"
74,6723,ルネサスエレクトロニクス株式会社,"1,204","1,228","1,202","1,189","13,665,400"
75,8725,MS&ADインシュアランスグループホールディングス株式会社,"3,562","3,627","3,557","3,555","1,233,400"
76,4684,株式会社オービック,"20,950","21,390","20,870","20,950","111,800"
77,6502,株式会社東芝,"4,775","4,800","4,680","4,775","1,783,900"
78,6645,オムロン株式会社,"10,490","10,860","10,460","10,380","949,000"
79,9735,セコム株式会社,"8,345","8,490","8,326","8,345","591,900"
80,9143,SGホールディングス株式会社,"3,010","3,060","3,000","2,992","757,100"
81,4151,協和発酵キリン株式会社,"3,655","3,700","3,625","3,595","810,800"
82,8053,住友商事株式会社,"1,562","1,573","1,553","1,554.5","2,619,300"
83,3659,株式会社ネクソン,"2,032","2,113","2,022","2,010","2,302,000"
84,2503,キリンホールディングス株式会社,"1,996","2,032.5","1,995","1,994","2,770,200"
85,5401,Nippon Steel Corp,"2,247","2,262.5","2,192.5","2,248","12,397,400"
86,6920,レーザーテック株式会社,"24,280","24,980","23,440","24,070","7,777,300"
87,8630,Sompo Holdings Inc,"4,828","4,898","4,811","4,828","951,800"
88,6857,株式会社アドバンテスト,"9,670","9,700","9,450","9,520","2,922,300"
89,2802,味の素株式会社,"3,232","3,275","3,228","3,244","1,866,000"
90,8604,野村ホールディングス株式会社,534.8,542.9,534.1,533.6,"11,110,400"
91,8015,豊田通商株式会社,"4,880","4,900","4,850","4,865","745,600"
92,4755,楽天株式会社,"1,142","1,160","1,139","1,152","6,593,600"
93,8830,住友不動産株式会社,"3,562","3,638","3,562","3,552","932,700"
94,6586,株式会社マキタ,"6,300","6,430","6,290","6,320","575,200"
95,7832,株式会社バンダイナムコホールディングス,"7,591","7,856","7,589","7,641","769,100"
96,3407,旭化成株式会社,"1,140","1,151","1,138.5","1,136","3,327,400"
97,7270,株式会社SUBARU,"2,060","2,074","2,047","2,036.5","2,809,600"
98,6701,日本電気株式会社,"5,790","5,940","5,770","5,780","1,479,700"
99,6762,TDK株式会社,"11,460","11,700","11,460","11,570","807,400"
